Cpd,Show/Hide,File,Label,RT,Base Peak,Area,Height,Width,Mining Algorithm
2,True,Sample_neg_1-2.d,Cpd 2: 1.060 112.9,1.06,112.9,1805829,180521,0.348,Find by Integration
2,True,Sample_neg_1-3.d,Cpd 2: 1.098 112.8,1.098,112.8,2022231,192248,0.353,Find by Integration
1,True,Sample_1-1.d,Cpd 1: 1.120 122.8,1.12,122.8,1846721,189761,0.338,Find by Integration
2,True,Sample_1-2.d,Cpd 2: 1.128 116.8,1.128,116.8,2049702,202354,0.278,Find by Integration
1,True,Sample_1-3.d,Cpd 1: 1.128 216.8,1.128,216.8,2008107,180551,0.353,Find by Integration
1,True,Blank_1-1.d,Cpd 1: 1.173 122.5,1.173,122.5,128411,80439,0.065,Find by Integration
1,True,Sample_2-1.d,Cpd 1: 1.225 122.7,1.225,122.7,322347,93302,0.089,Find by Integration
1,True,Sample_2-2.d,Cpd 1: 1.233 122.8,1.233,122.8,243419,82404,0.114,Find by Integration
1,True,Blank_1-2.d,Cpd 1: 1.270 122.8,1.27,122.8,183572,102464,0.078,Find by Integration
1,True,Sample_3-1.d,Cpd 1: 1.293 122.8,1.293,122.8,377164,112209,0.1,Find by Integration
2,True,Blank_neg_1-1.d,Cpd 2: 1.308 112.7,1.308,112.7,1918015,186694,0.432,Find by Integration
1,True,Sample_neg_2-1.d,Cpd 1: 1.315 113.0,1.315,113,2126554,174723,0.436,Find by Integration
1,True,Sample_3-2.d,Cpd 1: 1.323 122.7,1.323,122.7,320715,77328,0.112,Find by Integration
1,True,Sample_neg_2-2.d,Cpd 1: 1.330 112.9,1.33,112.9,1841979,176884,0.41,Find by Integration
2,True,Sample_neg_2-3.d,Cpd 2: 1.353 112.9,1.353,112.9,1865290,179750,0.413,Find by Integration
2,True,Blank_1-1.d,Cpd 2: 1.368 128.9,1.368,128.9,712541,109368,0.24,Find by Integration
2,True,Sample_2-1.d,Cpd 2: 1.368 122.7,1.368,122.7,1364753,159076,0.263,Find by Integration
2,True,Sample_neg_3-1.d,Cpd 2: 1.376 112.9,1.376,112.9,1362098,136702,0.419,Find by Integration
2,True,Blank_neg_1-2.d,Cpd 2: 1.398 112.9,1.398,112.9,2038659,185523,0.455,Find by Integration
2,True,Sample_2-2.d,Cpd 2: 1.421 129.0,1.421,129,1163358,134950,0.281,Find by Integration
1,True,Sample_2-3.d,Cpd 1: 1.428 138.7,1.428,138.7,848502,101297,0.221,Find by Integration
2,True,Sample_3-1.d,Cpd 2: 1.428 122.9,1.428,122.9,1347245,136194,0.327,Find by Integration
2,True,Blank_1-2.d,Cpd 2: 1.451 116.6,1.451,116.6,421788,76525,0.195,Find by Integration
2,True,Sample_neg_3-2.d,Cpd 2: 1.451 112.8,1.451,112.8,1217744,127026,0.413,Find by Integration
2,True,Sample_neg_3-3.d,Cpd 2: 1.451 112.8,1.451,112.8,1131564,135403,0.262,Find by Integration
2,True,Sample_3-2.d,Cpd 2: 1.511 128.7,1.511,128.7,1159596,122349,0.248,Find by Integration
1,True,Sample_3-3.d,Cpd 1: 1.533 128.8,1.533,128.8,730414,104676,0.224,Find by Integration
3,True,Blank_01-2.d,Cpd 3: 1.699 117.0,1.699,117,34377,60675,0.025,Find by Integration
4,True,Blank_01-2.d,Cpd 4: 2.315 117.0,2.315,117,68692,84507,0.03,Find by Integration
3,True,Sample_neg_1-3.d,Cpd 3: 2.450 134.7,2.45,134.7,346672,37118,0.316,Find by Integration
