Cpd,Show/Hide,File,Label,RT,Base Peak,Area,Height,Width,Mining Algorithm
3,True,Sample_neg_1-1.d,Cpd 3: 9.461 293.1,9.461,293.1,409394,69168,0.23,Find by Integration
4,True,Sample_neg_1-2.d,Cpd 4: 9.506 293.1,9.506,293.1,319178,71586,0.17,Find by Integration
7,True,Sample_1-3.d,Cpd 7: 9.590 174.7,9.59,174.7,7450661,1018413,0.341,Find by Integration
6,True,Sample_1-1.d,Cpd 6: 9.598 250.9,9.598,250.9,7137446,1067281,0.278,Find by Integration
8,True,Sample_1-2.d,Cpd 8: 9.725 174.7,9.725,174.7,6966116,1011423,0.262,Find by Integration
5,True,Sample_neg_1-3.d,Cpd 5: 9.739 293.0,9.739,293,369231,60679,0.188,Find by Integration
11,True,Blank_01-1.d,Cpd 11: 9.771 304.2,9.771,304.2,580576,145332,0.153,Find by Integration
8,True,Blank_01-2.d,Cpd 8: 9.875 123.8,9.875,123.8,161834,97041,0.065,Find by Integration
6,True,Sample_3-3.d,Cpd 6: 9.897 212.7,9.897,212.7,13942,58965,0.015,Find by Integration
5,True,Sample_2-1.d,Cpd 5: 9.996 169.9,9.996,169.9,1193525,204878,0.201,Find by Integration
6,True,Sample_2-2.d,Cpd 6: 10.056 169.9,10.056,169.9,1581207,234784,0.248,Find by Integration
12,True,Blank_01-1.d,Cpd 12: 10.116 298.1,10.116,298.1,1376598,369651,0.12,Find by Integration
4,True,Sample_2-3.d,Cpd 4: 10.168 169.8,10.168,169.8,1420113,199032,0.217,Find by Integration
5,True,Sample_3-1.d,Cpd 5: 10.191 169.8,10.191,169.8,1377398,197943,0.221,Find by Integration
9,True,Blank_01-2.d,Cpd 9: 10.236 298.3,10.236,298.3,652463,122979,0.165,Find by Integration
3,True,Sample_neg_2-1.d,Cpd 3: 10.273 292.9,10.273,292.9,548070,66133,0.263,Find by Integration
3,True,Blank_neg_1-1.d,Cpd 3: 10.295 293.0,10.295,293,350129,51592,0.218,Find by Integration
4,True,Sample_neg_2-2.d,Cpd 4: 10.310 293.1,10.31,293.1,379741,57239,0.21,Find by Integration
13,True,Blank_01-1.d,Cpd 13: 10.364 332.2,10.364,332.2,2870887,478239,0.229,Find by Integration
4,True,Blank_1-1.d,Cpd 4: 10.379 348.9,10.379,348.9,7655576,1011116,0.323,Find by Integration
5,True,Sample_3-2.d,Cpd 5: 10.379 169.9,10.379,169.9,1390909,194358,0.223,Find by Integration
7,True,Sample_3-3.d,Cpd 7: 10.409 169.8,10.408,169.8,1681132,248869,0.225,Find by Integration
4,True,Sample_neg_3-1.d,Cpd 4: 10.453 293.1,10.453,293.1,341031,50584,0.215,Find by Integration
10,True,Blank_01-2.d,Cpd 10: 10.469 332.2,10.469,332.2,1512451,282938,0.171,Find by Integration
6,True,Sample_2-1.d,Cpd 6: 10.469 350.9,10.469,350.9,7540684,1027127,0.302,Find by Integration
3,True,Blank_neg_1-2.d,Cpd 3: 10.475 293.2,10.475,293.2,491554,64210,0.255,Find by Integration
4,True,Sample_neg_2-3.d,Cpd 4: 10.483 293.1,10.483,293.1,466611,60662,0.24,Find by Integration
7,True,Sample_2-2.d,Cpd 7: 10.522 350.9,10.522,350.9,7753492,1002178,0.336,Find by Integration
6,True,Sample_neg_1-3.d,Cpd 6: 10.536 313.1,10.536,313.1,187109,33122,0.173,Find by Integration
5,True,Sample_2-3.d,Cpd 5: 10.597 350.8,10.597,350.8,7638579,959875,0.318,Find by Integration
5,True,Sample_neg_3-2.d,Cpd 5: 10.633 293.0,10.633,293,367019,67134,0.233,Find by Integration
6,True,Sample_3-1.d,Cpd 6: 10.634 348.9,10.634,348.9,7583793,1027706,0.31,Find by Integration
5,True,Blank_1-2.d,Cpd 5: 10.649 348.7,10.649,348.7,7915192,1008597,0.344,Find by Integration
7,True,Sample_1-1.d,Cpd 7: 10.687 332.2,10.687,332.2,1272948,245661,0.208,Find by Integration
8,True,Sample_1-3.d,Cpd 8: 10.687 332.1,10.687,332.1,482619,134418,0.12,Find by Integration
5,True,Sample_neg_3-3.d,Cpd 5: 10.708 293.2,10.708,293.2,328466,47443,0.233,Find by Integration
6,True,Sample_3-2.d,Cpd 6: 10.792 350.9,10.792,350.9,7519290,969237,0.299,Find by Integration
9,True,Sample_1-2.d,Cpd 9: 10.800 332.1,10.8,332.1,800666,186641,0.135,Find by Integration
8,True,Sample_3-3.d,Cpd 8: 10.844 348.8,10.844,348.8,7429336,950978,0.304,Find by Integration
9,True,Sample_1-3.d,Cpd 9: 10.882 326.3,10.882,326.3,952669,146488,0.188,Find by Integration
4,True,Sample_neg_2-1.d,Cpd 4: 11.017 312.9,11.017,312.9,116905,27135,0.15,Find by Integration
5,True,Sample_neg_2-2.d,Cpd 5: 11.024 313.1,11.024,313.1,154269,37109,0.15,Find by Integration
10,True,Sample_1-2.d,Cpd 10: 11.025 326.2,11.025,326.2,587588,111538,0.168,Find by Integration
14,True,Blank_01-1.d,Cpd 14: 11.078 123.7,11.078,123.7,1411604,264318,0.148,Find by Integration
15,True,Blank_01-1.d,Cpd 15: 11.161 352.2,11.161,352.2,542615,159998,0.103,Find by Integration
4,True,Blank_neg_1-2.d,Cpd 4: 11.234 312.9,11.234,312.9,109080,35149,0.112,Find by Integration
11,True,Blank_01-2.d,Cpd 11: 11.281 124.0,11.281,124,1262867,210187,0.18,Find by Integration
6,True,Sample_neg_3-2.d,Cpd 6: 11.317 313.4,11.317,313.4,139586,29390,0.172,Find by Integration
5,True,Blank_1-1.d,Cpd 5: 11.371 123.7,11.371,123.7,608864,167231,0.15,Find by Integration
6,True,Sample_neg_3-3.d,Cpd 6: 11.399 313.3,11.399,313.3,418902,44480,0.301,Find by Integration
7,True,Sample_2-1.d,Cpd 7: 11.416 332.2,11.416,332.2,51517,86623,0.023,Find by Integration
8,True,Sample_1-1.d,Cpd 8: 11.522 124.1,11.522,124.1,2955175,263989,0.361,Find by Integration
10,True,Sample_1-3.d,Cpd 10: 11.529 341.1,11.529,341.1,2433921,263552,0.233,Find by Integration
16,True,Blank_01-1.d,Cpd 16: 11.544 136.8,11.544,136.8,456055,160699,0.09,Find by Integration
11,True,Sample_1-2.d,Cpd 11: 11.694 352.2,11.694,352.2,3403832,243064,0.331,Find by Integration
17,True,Blank_01-1.d,Cpd 17: 11.695 352.2,11.695,352.2,817150,225064,0.142,Find by Integration
3,True,Blank_neg_01-2.d,Cpd 3: 11.745 132.7,11.745,132.7,351696,44948,0.24,Find by Integration
4,True,Blank_neg_01-2.d,Cpd 4: 11.821 117.0,11.821,117,181284,41887,0.149,Find by Integration
12,True,Blank_01-2.d,Cpd 12: 11.860 123.8,11.86,123.8,51392,213702,0.015,Find by Integration
7,True,Sample_3-1.d,Cpd 7: 11.882 352.3,11.882,352.3,1479958,188709,0.209,Find by Integration
9,True,Sample_3-3.d,Cpd 9: 12.054 352.2,12.054,352.2,250372,87600,0.076,Find by Integration
4,True,Sample_neg_1-1.d,Cpd 4: 12.069 133.0,12.069,133,934473,38582,0.609,Find by Integration
18,True,Blank_01-1.d,Cpd 18: 12.070 125.0,12.07,125,84588,160329,0.015,Find by Integration
11,True,Sample_1-3.d,Cpd 11: 12.137 123.1,12.137,123.1,95155,139354,0.03,Find by Integration
6,True,Blank_1-1.d,Cpd 6: 12.205 385.2,12.205,385.2,5167596,428370,0.338,Find by Integration
8,True,Sample_2-1.d,Cpd 8: 12.243 123.8,12.243,123.8,14184313,579691,1.145,Find by Integration
19,True,Blank_01-1.d,Cpd 19: 12.273 123.8,12.273,123.8,1662154,308185,0.225,Find by Integration
3,True,Blank_neg_01-1.d,Cpd 3: 12.287 355.0,12.287,355,347441,78376,0.165,Find by Integration
8,True,Sample_2-2.d,Cpd 8: 12.288 123.9,12.288,123.9,5464557,489236,0.442,Find by Integration
13,True,Blank_01-2.d,Cpd 13: 12.356 136.8,12.356,136.8,560481,136630,0.163,Find by Integration
6,True,Sample_2-3.d,Cpd 6: 12.363 123.9,12.363,123.9,21587176,731080,1.12,Find by Integration
8,True,Sample_3-1.d,Cpd 8: 12.370 385.1,12.37,385.1,38037033,960061,1.18,Find by Integration
5,True,Sample_neg_2-1.d,Cpd 5: 12.422 115.7,12.422,115.7,689704,47926,0.398,Find by Integration
6,True,Blank_1-2.d,Cpd 6: 12.423 385.1,12.423,385.1,6016523,504716,0.368,Find by Integration
5,True,Sample_neg_2-3.d,Cpd 5: 12.466 297.1,12.466,297.1,610891,55916,0.39,Find by Integration
5,True,Blank_neg_01-2.d,Cpd 5: 12.482 355.1,12.482,355.1,329287,58934,0.218,Find by Integration
7,True,Sample_3-2.d,Cpd 7: 12.513 385.2,12.513,385.2,10619904,711258,0.519,Find by Integration
10,True,Sample_3-3.d,Cpd 10: 12.528 124.0,12.528,124,13532621,842335,0.541,Find by Integration
6,True,Sample_neg_2-1.d,Cpd 6: 12.535 115.6,12.535,115.6,397607,42624,0.278,Find by Integration
